2016-03-19 01:31:27,033 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:31:27,036 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-server:jar:1.19 is missing, no dependency information available
2016-03-19 01:31:27,307 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com-sun-jersey/jersey-core/1.19/jersey-core-1.19.pom
2016-03-19 01:31:27,311 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:31:27,313 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com-sun-jersey:jersey-core:jar:1.19 is missing, no dependency information available
2016-03-19 01:31:27,478 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax-ws-rs/jsr311-api/1.1.1/jsr311-api-1.1.1.jar
2016-03-19 01:31:27,660 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org-json/json/20140107/json-20140107.jar
2016-03-19 01:31:27,835 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com-sun-jersey/jersey-server/1.19/jersey-server-1.19.jar
2016-03-19 01:31:28,003 [Worker-57] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com-sun-jersey/jersey-core/1.19/jersey-core-1.19.jar
2016-03-19 01:31:28,066 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax-ws-rs:jsr311-api:jar:1.1.1 is missing, no dependency information available
2016-03-19 01:31:28,073 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org-json:json:jar:20140107 is missing, no dependency information available
